event_id,request_id,event_type,event_timestamp,affected_assets
d8f1754d-d12c-4db4-ab84-dca0bd888900,d7786b0e-5512-4247-9791-b4611dd05040,security,2020-03-21 20:22:44,"['find', 'hot', 'learn']"
e810afec-5036-490a-ba4c-59badd810c8f,cd726cc6-912d-44c4-b8a4-9d54d6905e29,entire,2020-11-25 18:17:14,"['whom', 'society', 'region']"
same_event_id2,d054d0b5-1712-4656-bc27-0a14a8f30bda,food,2024-03-10 01:02:08,"['case', 'social', 'down']"
ffad567c-9700-4723-8a18-f46aa9eb2903,379c30cc-bb0c-456f-9396-c24aca2d7c26,everyone,2023-01-20 12:17:37,"['own', 'back', 'goal']"
d49f225e-75d8-496c-af89-768f918d48a8,880d0632-a415-49b7-9f8b-36fbd09fb664,customer,2021-07-17 17:22:32,"['same', 'air', 'program']"
0478684a-f4ad-47cb-8e28-f3c31ac01a5b,cfed8b74-33d5-40ef-8e1e-afb4e8a1e444,role,2020-11-17 23:20:20,"['kind', 'pretty', 'huge']"
23335366-e15f-4e28-9da5-2eba5e65bfd3,679b14e6-09c6-4c30-9513-33f0d3cf48d9,space,2021-12-23 09:18:22,"['defense', 'approach', 'region']"
9bc6942f-18f6-4874-bb0e-b0b7befc5b59,d35bd86d-5c6a-424d-8e5c-60f63a1e589e,apply,2022-03-05 05:46:43,"['in', 'new', 'gas']"
1a34afe8-3471-458f-9847-3683be519a42,47a40264-3476-47e7-8382-68aa729b85f3,become,2021-06-16 06:59:01,"['get', 'identify', 'easy']"
same_event_id2,907f9226-ce2b-40da-8681-8d58560d8123,bill,2023-03-24 13:56:55,"['large', 'ago', 'tell']"
same_event_id1,a97ce83b-ba47-4b21-b903-c007177656e7,yeah,2023-07-15 04:27:11,"['generation', 'ability', 'school']"
same_event_id2,346e9ea6-d6ae-41dc-9949-0c8ff47d34a5,job,2021-11-08 01:04:08,"['ball', 'southern', 'simple']"
612d1126-448b-4260-8265-8896681562a5,53a63aac-1abd-45eb-837d-400ab639cd86,red,2020-02-13 16:26:09,"['section', 'seem', 'require']"
71f5661c-2d1b-48f7-bd3b-9eaa04578aaf,c26433e5-01f2-46d7-994b-33be008f91de,without,2022-04-16 02:10:31,"['bit', 'beat', 'focus']"
3841cfc1-f812-445c-9dfc-56137a2141cd,eec2387c-e3a1-483e-82f2-561221751bb1,score,2021-12-02 00:33:02,"['follow', 'station', 'wife']"
4aabb514-b018-497c-852e-fbcfe18ed16b,078e2052-3d57-4b08-93de-298def41afa7,specific,2024-02-15 21:31:59,"['low', 'none', 'traditional']"
